AngleName,Scenario,Signal,N,MeanAngleError,MeanSignalValue
RightKnee,Baseline,reprojection_error_max,350,17.547363291989193,1.8750547846838337
RightKnee,Occlusion,reprojection_error_max,326,24.96121520851809,2.740187263675335
RightKnee,Environmental Interference,reprojection_error_max,281,20.17544448159266,1.7613913590288814
RightKnee,Unclassified,reprojection_error_max,1161,12.494097504836537,2.0775610787213186
RightKnee,Baseline,epipolar_error_max,363,17.950622552763697,10.952731874588851
RightKnee,Occlusion,epipolar_error_max,333,25.794265417771285,11.162693417023409
RightKnee,Environmental Interference,epipolar_error_max,282,20.18790774997788,5.537147660711819
RightKnee,Unclassified,epipolar_error_max,1164,12.558466270261329,5.4585788724089
RightKnee,Baseline,detect_conf_min,359,17.526937602226802,0.8072816320622993
RightKnee,Occlusion,detect_conf_min,324,25.75857406117284,0.6483539809621253
RightKnee,Environmental Interference,detect_conf_min,280,20.126214073804512,0.8405698001958496
RightKnee,Unclassified,detect_conf_min,1162,12.538681633964378,0.8846295667086536
RightKnee,Baseline,temporal_rescue_fraction,366,18.830622850523252,0.08652094717668486
RightKnee,Occlusion,temporal_rescue_fraction,333,25.794265417771285,0.15115115115115116
RightKnee,Environmental Interference,temporal_rescue_fraction,282,20.18790774997788,0.1193853427895981
RightKnee,Unclassified,temporal_rescue_fraction,1174,12.79294600571518,0.09398069278818852
